locus_tag	ftype	length_bp	gene	EC_number	COG	product
PCHFIHDH_00057	CDS	1485	yhdG_1		COG0531	putative amino acid permease YhdG
PCHFIHDH_00058	CDS	1395				putative protein
PCHFIHDH_00059	CDS	1422				putative protein
PCHFIHDH_00060	CDS	1227	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
PCHFIHDH_00061	CDS	1110				hypothetical protein
PCHFIHDH_00062	CDS	1401	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
PCHFIHDH_00063	CDS	531				hypothetical protein
PCHFIHDH_00064	CDS	384	whiB			Transcriptional regulator WhiB
PCHFIHDH_00065	CDS	990	fbiA	2.7.8.28	COG0391	Phosphoenolpyruvate transferase
PCHFIHDH_00066	CDS	1365	fbiB_1		COG0778	Bifunctional F420 biosynthesis protein FbiB
PCHFIHDH_00067	CDS	1587		2.1.1.72		Modification methylase Eco57IB
PCHFIHDH_00068	CDS	549				hypothetical protein
PCHFIHDH_00069	CDS	1077	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
PCHFIHDH_00070	CDS	885	wbbL	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
PCHFIHDH_00071	CDS	927	rmlD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
PCHFIHDH_00072	CDS	1458	lcpA_1		COG1316	Cell wall biosynthesis protein LcpA
PCHFIHDH_00073	CDS	723				hypothetical protein
PCHFIHDH_00074	CDS	279				putative protein
PCHFIHDH_00075	CDS	2199	ctpC	3.6.3.-	COG2217	Manganese-exporting P-type ATPase
PCHFIHDH_00076	CDS	552				hypothetical protein
PCHFIHDH_00077	CDS	1707				hypothetical protein
PCHFIHDH_00078	CDS	1002	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
PCHFIHDH_00079	CDS	810	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
PCHFIHDH_00080	CDS	1278	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
PCHFIHDH_00081	CDS	819	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
PCHFIHDH_00082	CDS	648				hypothetical protein
PCHFIHDH_00083	CDS	1539	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
PCHFIHDH_00084	CDS	459	bcpB	1.11.1.15	COG1225	Putative peroxiredoxin
PCHFIHDH_00085	CDS	1083	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
PCHFIHDH_00086	CDS	1515	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
PCHFIHDH_00087	CDS	1494	yhdG_2		COG0531	putative amino acid permease YhdG
PCHFIHDH_00088	CDS	2736	cphA	6.3.2.29	COG0769	Cyanophycin synthetase
PCHFIHDH_00089	CDS	2205				hypothetical protein
PCHFIHDH_00090	CDS	345				hypothetical protein
PCHFIHDH_00091	CDS	1092				hypothetical protein
PCHFIHDH_00092	CDS	336	hisI	3.5.4.19	COG0139	Phosphoribosyl-AMP cyclohydrolase
PCHFIHDH_00093	CDS	786	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
PCHFIHDH_00094	CDS	813	impA	3.1.3.25	COG0483	putative inositol 1-monophosphatase ImpA
PCHFIHDH_00095	CDS	735	priA_1	5.3.1.16	COG0106	Phosphoribosyl isomerase A
PCHFIHDH_00096	CDS	633	hisH	4.3.2.10		Imidazole glycerol phosphate synthase subunit HisH
PCHFIHDH_00097	CDS	633	hisB	4.2.1.19	COG0131	Imidazoleglycerol-phosphate dehydratase
PCHFIHDH_00098	CDS	1149	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
PCHFIHDH_00099	CDS	1236	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
PCHFIHDH_00100	CDS	411				hypothetical protein
PCHFIHDH_00101	CDS	858	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
PCHFIHDH_00102	CDS	1575	nadB	1.4.3.16	COG0029	L-aspartate oxidase
PCHFIHDH_00103	CDS	1059	nadA	2.5.1.72	COG0379	Quinolinate synthase A
PCHFIHDH_00104	CDS	1341				putative inactive lipase
PCHFIHDH_00105	CDS	699				putative protein
PCHFIHDH_00106	CDS	225				putative protein
PCHFIHDH_00107	CDS	1050	bioB	2.8.1.6	COG0502	Biotin synthase
PCHFIHDH_00108	CDS	510				hypothetical protein
PCHFIHDH_00109	CDS	681	bioD	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD
PCHFIHDH_00110	CDS	1170	bioF1	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase 1
PCHFIHDH_00111	CDS	1314	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
PCHFIHDH_00112	CDS	453				hypothetical protein
PCHFIHDH_00113	CDS	780				hypothetical protein
PCHFIHDH_00114	CDS	2166				hypothetical protein
PCHFIHDH_00115	CDS	2178	glgX_1	3.2.1.-	COG1523	Glycogen operon protein GlgX 
PCHFIHDH_00116	CDS	2298	treY	5.4.99.15	COG3280	Putative maltooligosyl trehalose synthase
PCHFIHDH_00117	CDS	1764	treZ	3.2.1.141	COG0296	Malto-oligosyltrehalose trehalohydrolase
PCHFIHDH_00118	CDS	1326	ptsJ		COG1167	Vitamin B6 salvage pathway transcriptional repressor PtsJ
PCHFIHDH_00119	CDS	645				hypothetical protein
PCHFIHDH_00120	CDS	1281	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
PCHFIHDH_00121	CDS	438		1.1.98.-		F420H(2)-dependent quinone reductase
PCHFIHDH_00122	CDS	231				hypothetical protein
PCHFIHDH_00123	CDS	1875	plsB1		COG2937	Putative acyltransferase plsB1
PCHFIHDH_00124	CDS	1827		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
PCHFIHDH_00125	CDS	3543	dnaE1	2.7.7.7	COG0587	DNA polymerase III subunit alpha
PCHFIHDH_00126	CDS	432				putative protein
PCHFIHDH_00127	CDS	804				hypothetical protein
PCHFIHDH_00128	CDS	1017		1.-.-.-		putative oxidoreductase
PCHFIHDH_00129	CDS	411	glbN		COG2346	Group 1 truncated hemoglobin GlbN
PCHFIHDH_00130	CDS	636	lprI		COG4461	Lipoprotein LprI
PCHFIHDH_00131	CDS	738				hypothetical protein
PCHFIHDH_00132	CDS	885		5.4.99.-	COG0564	putative RNA pseudouridine synthase
PCHFIHDH_00133	CDS	534	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
PCHFIHDH_00134	CDS	984	ansA	3.5.1.1	COG0252	putative L-asparaginase
PCHFIHDH_00135	CDS	1398	dinB1	2.7.7.7	COG0389	DNA polymerase IV 1
PCHFIHDH_00136	CDS	567	rsmA_1	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
PCHFIHDH_00137	CDS	711				hypothetical protein
PCHFIHDH_00138	CDS	300				hypothetical protein
PCHFIHDH_00139	CDS	966				hypothetical protein
PCHFIHDH_00140	CDS	672	npt	2.7.8.7		4'-phosphopantetheinyl transferase Npt
PCHFIHDH_00141	CDS	906	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
PCHFIHDH_00142	CDS	1203	fadA_2	2.3.1.16		3-ketoacyl-CoA thiolase
PCHFIHDH_00143	CDS	1239	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
PCHFIHDH_00144	CDS	717	ideR_1		COG1321	Iron-dependent repressor IdeR
PCHFIHDH_00145	CDS	1017	ribF			Bifunctional riboflavin kinase/FMN adenylyltransferase
PCHFIHDH_00146	CDS	270	rpsO		COG0184	30S ribosomal protein S15
PCHFIHDH_00147	CDS	534				hypothetical protein
PCHFIHDH_00148	CDS	399				hypothetical protein
PCHFIHDH_00149	CDS	2289	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
PCHFIHDH_00150	CDS	1317		3.4.24.-	COG0612	putative zinc protease
PCHFIHDH_00151	CDS	1035	nmoA	1.13.12.-	COG2070	Nitronate monooxygenase
PCHFIHDH_00152	CDS	1116	ald_1	1.4.1.1	COG0686	Alanine dehydrogenase
PCHFIHDH_00153	CDS	438	lrp_1		COG1522	Leucine-responsive regulatory protein
PCHFIHDH_00154	CDS	465				hypothetical protein
PCHFIHDH_00155	CDS	918				hypothetical protein
PCHFIHDH_00156	CDS	1761	ephD_1	1.-.-.-	COG1028	putative oxidoreductase EphD
PCHFIHDH_00157	CDS	1083	ophA1	1.-.-.-		Phthalate dioxygenase reductase
PCHFIHDH_00158	CDS	642				hypothetical protein
PCHFIHDH_00159	CDS	1026	kshA_1	1.14.15.30		3-ketosteroid-9-alpha-monooxygenase, oxygenase component
PCHFIHDH_00160	CDS	1089				hypothetical protein
PCHFIHDH_00161	CDS	1338				putative protein
PCHFIHDH_00162	CDS	738	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
PCHFIHDH_00163	CDS	465				hypothetical protein
PCHFIHDH_00164	CDS	456				hypothetical protein
PCHFIHDH_00165	CDS	1080				PPE family protein PPE15
PCHFIHDH_00166	CDS	1548		6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase FadD13
PCHFIHDH_00167	CDS	804				hypothetical protein
PCHFIHDH_00168	CDS	1182				PPE family protein PPE15
PCHFIHDH_00169	CDS	3234				hypothetical protein
PCHFIHDH_00170	CDS	588				hypothetical protein
PCHFIHDH_00171	CDS	783	baiA_1	1.1.1.392		3-alpha-hydroxycholanate dehydrogenase (NADP(+))
PCHFIHDH_00172	CDS	1194		1.3.99.-		Acyl-CoA dehydrogenase FadE34
PCHFIHDH_00173	CDS	1104		1.3.99.-		Acyl-CoA dehydrogenase FadE34
PCHFIHDH_00174	CDS	741				hypothetical protein
PCHFIHDH_00175	CDS	801	thyA	2.1.1.45	COG0207	Thymidylate synthase ThyA
PCHFIHDH_00176	CDS	498	folA	1.5.1.3	COG0262	Dihydrofolate reductase
PCHFIHDH_00177	CDS	1215				hypothetical protein
PCHFIHDH_00178	CDS	1455				hypothetical protein
PCHFIHDH_00179	CDS	1092				hypothetical protein
PCHFIHDH_00180	CDS	807	thyX	2.1.1.148	COG1351	Flavin-dependent thymidylate synthase
PCHFIHDH_00181	CDS	903	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
PCHFIHDH_00182	CDS	1677	rnj	3.1.-.-	COG0595	Ribonuclease J
PCHFIHDH_00183	CDS	873				hypothetical protein
PCHFIHDH_00184	CDS	834		1.-.-.-		putative oxidoreductase
PCHFIHDH_00185	CDS	315				hypothetical protein
PCHFIHDH_00186	CDS	2421	ftsK		COG1674	DNA translocase FtsK
PCHFIHDH_00187	CDS	495	argA	2.3.1.1	COG1246	Amino-acid acetyltransferase
PCHFIHDH_00188	CDS	570	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
PCHFIHDH_00189	CDS	327	clgR			Transcriptional regulator ClgR
PCHFIHDH_00190	CDS	816			COG1842	35 kDa protein
PCHFIHDH_00191	CDS	816				hypothetical protein
PCHFIHDH_00192	CDS	270	ephG	3.3.2.10	COG4308	Epoxide hydrolase EphG
PCHFIHDH_00193	CDS	1569				hypothetical protein
PCHFIHDH_00194	CDS	870	glpG	3.4.21.105		Rhomboid protease GlpG
PCHFIHDH_00195	CDS	462				hypothetical protein
PCHFIHDH_00196	CDS	789	xecD	1.1.1.268		2-(R)-hydroxypropyl-CoM dehydrogenase
PCHFIHDH_00197	CDS	1611	fadK_1	6.2.1.-	COG0318	Medium-chain fatty-acid--CoA ligase
PCHFIHDH_00198	CDS	780				hypothetical protein
PCHFIHDH_00199	CDS	1623	vgb	4.2.99.-		Virginiamycin B lyase
PCHFIHDH_00200	CDS	876	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PCHFIHDH_00201	CDS	1362		1.14.13.239		Carnitine monooxygenase oxygenase subunit
PCHFIHDH_00202	CDS	1182	fgd_1	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
PCHFIHDH_00203	CDS	1854	ptlE	1.14.13.171	COG2072	Neopentalenolactone D synthase
PCHFIHDH_00204	CDS	936		1.1.1.-	COG1028	Putative short-chain type dehydrogenase/reductase
PCHFIHDH_00205	CDS	1221	frc_1	2.8.3.16		Formyl-CoA:oxalate CoA-transferase
PCHFIHDH_00206	CDS	2013				hypothetical protein
PCHFIHDH_00207	CDS	666	trmR_1	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
PCHFIHDH_00208	CDS	216				hypothetical protein
PCHFIHDH_00209	CDS	1749	mntH_1			Divalent metal cation transporter MntH
PCHFIHDH_00210	CDS	756	ldtA	2.3.2.-	COG1376	L,D-transpeptidase 1
PCHFIHDH_00211	CDS	933	hdfR			HTH-type transcriptional regulator HdfR
PCHFIHDH_00212	CDS	1743	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
PCHFIHDH_00213	CDS	1635	sauT	6.2.1.-	COG0318	putative sulfoacetate--CoA ligase
PCHFIHDH_00214	CDS	477				hypothetical protein
PCHFIHDH_00215	CDS	2157			COG0480	Elongation factor G-like protein
PCHFIHDH_00216	CDS	411				hypothetical protein
PCHFIHDH_00217	CDS	501				hypothetical protein
PCHFIHDH_00218	CDS	1074				hypothetical protein
PCHFIHDH_00219	CDS	651	treS_1	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
PCHFIHDH_00220	CDS	1128	treS_2	3.2.1.1	COG0366	Trehalose synthase/amylase TreS
PCHFIHDH_00221	CDS	1368	mak	2.7.1.175		Maltokinase
PCHFIHDH_00222	CDS	681				hypothetical protein
PCHFIHDH_00223	CDS	1041	fbpC	2.3.1.122	COG0627	Diacylglycerol acyltransferase/mycolyltransferase Ag85C
PCHFIHDH_00224	CDS	498				hypothetical protein
PCHFIHDH_00225	CDS	456		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
PCHFIHDH_00226	CDS	1296	bbsG_1	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
PCHFIHDH_00227	CDS	633				hypothetical protein
PCHFIHDH_00228	CDS	2031				hypothetical protein
PCHFIHDH_00229	CDS	669	fabR		COG1309	HTH-type transcriptional repressor FabR
PCHFIHDH_00230	CDS	1098		1.-.-.-	COG1018	NADPH oxidoreductase
PCHFIHDH_00231	CDS	1134	desA3_3	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
PCHFIHDH_00232	CDS	525				hypothetical protein
PCHFIHDH_00233	CDS	1245		2.4.1.11	COG0438	Glycogen synthase
PCHFIHDH_00234	CDS	978				hypothetical protein
PCHFIHDH_00235	CDS	1356				hypothetical protein
PCHFIHDH_00236	CDS	696				putative protein
PCHFIHDH_00237	CDS	642				hypothetical protein
PCHFIHDH_00238	CDS	408				hypothetical protein
PCHFIHDH_00239	CDS	504				hypothetical protein
PCHFIHDH_00240	CDS	1209	ampC	3.5.2.6		Beta-lactamase
PCHFIHDH_00241	CDS	2115	apeX		COG2409	Apo-petrobactin exporter
PCHFIHDH_00242	CDS	480	tspO		COG3476	Tryptophan-rich protein TspO
PCHFIHDH_00243	CDS	1344	phrA	4.1.99.3		Deoxyribodipyrimidine photo-lyase
PCHFIHDH_00244	CDS	546				hypothetical protein
PCHFIHDH_00245	CDS	780				hypothetical protein
PCHFIHDH_00246	CDS	837		2.3.1.-	COG0110	Putative acetyltransferase
PCHFIHDH_00247	CDS	1293			COG1520	putative protein
PCHFIHDH_00248	CDS	390				hypothetical protein
PCHFIHDH_00249	CDS	684				Immunogenic protein MPT64
PCHFIHDH_00250	CDS	1038				hypothetical protein
PCHFIHDH_00251	CDS	984	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
PCHFIHDH_00252	CDS	774		4.2.1.17		putative enoyl-CoA hydratase echA17
PCHFIHDH_00253	CDS	843				hypothetical protein
PCHFIHDH_00254	CDS	843	ylmA	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
PCHFIHDH_00255	CDS	1497	hyfG	1.-.-.-	COG3261	Hydrogenase-4 component G
PCHFIHDH_00256	CDS	1467	ndhB	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
PCHFIHDH_00257	CDS	663				hypothetical protein
PCHFIHDH_00258	CDS	960	hycD		COG0650	Formate hydrogenlyase subunit 4
PCHFIHDH_00259	CDS	1977	hyfB	1.-.-.-	COG0651	Hydrogenase-4 component B
PCHFIHDH_00260	CDS	480	hycG		COG3260	Formate hydrogenlyase subunit 7
PCHFIHDH_00261	CDS	345			COG0640	putative HTH-type transcriptional regulator
PCHFIHDH_00262	CDS	1230	serB2	3.1.3.3	COG0560	Phosphoserine phosphatase SerB2
PCHFIHDH_00263	CDS	1722	ctaD_1	1.9.3.1	COG0843	putative cytochrome c oxidase subunit 1
PCHFIHDH_00264	CDS	1080				hypothetical protein
PCHFIHDH_00265	CDS	1041	adhC	1.1.1.2	COG1064	NADP-dependent alcohol dehydrogenase C
PCHFIHDH_00266	CDS	384				hypothetical protein
PCHFIHDH_00267	CDS	975	nrdF2	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta nrdF2
PCHFIHDH_00268	CDS	447				hypothetical protein
PCHFIHDH_00269	CDS	546				hypothetical protein
PCHFIHDH_00270	CDS	1551		1.14.13.-	COG2072	Baeyer-Villiger monooxygenase
PCHFIHDH_00271	CDS	744				putative HTH-type transcriptional regulator
PCHFIHDH_00272	CDS	2166	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
PCHFIHDH_00273	CDS	459	nrdI		COG1780	Protein NrdI
PCHFIHDH_00274	CDS	240	nrdH		COG0695	Glutaredoxin-like protein NrdH
PCHFIHDH_00275	CDS	525				hypothetical protein
PCHFIHDH_00276	CDS	822				hypothetical protein
PCHFIHDH_00277	CDS	1077	disA	2.7.7.85	COG1623	DNA integrity scanning protein DisA
PCHFIHDH_00278	CDS	1476	radA	3.6.4.-	COG1066	DNA repair protein RadA
PCHFIHDH_00279	CDS	558	lpqE			Putative lipoprotein LpqE
PCHFIHDH_00280	CDS	489	carD		COG1329	RNA polymerase-binding transcription factor CarD
PCHFIHDH_00281	CDS	684	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PCHFIHDH_00282	CDS	498	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
PCHFIHDH_00283	CDS	1407	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
PCHFIHDH_00284	CDS	933		2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase
PCHFIHDH_00285	CDS	1242	arsB		COG1055	Arsenical pump membrane protein
PCHFIHDH_00286	CDS	921				hypothetical protein
PCHFIHDH_00287	CDS	759	pxpA	3.5.2.9		5-oxoprolinase subunit A
PCHFIHDH_00288	CDS	750				hypothetical protein
PCHFIHDH_00289	CDS	717				hypothetical protein
PCHFIHDH_00290	CDS	852	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
PCHFIHDH_00291	CDS	819	mntB		COG1121	Manganese transport system ATP-binding protein MntB
PCHFIHDH_00292	CDS	939	psaA		COG0803	Manganese ABC transporter substrate-binding lipoprotein
PCHFIHDH_00293	CDS	1080	ipsA			HTH-type transcriptional regulator IpsA
PCHFIHDH_00294	CDS	666	kstR_1			HTH-type transcriptional repressor KstR
PCHFIHDH_00295	CDS	2136		1.3.99.-		Acyl-CoA dehydrogenase FadE34
PCHFIHDH_00296	CDS	531				hypothetical protein
PCHFIHDH_00297	CDS	1077	hmp_1	1.14.15.30	COG1018	3-ketosteroid-9-alpha-monooxygenase, ferredoxin reductase component
PCHFIHDH_00298	CDS	1185	hsaA_1	1.14.14.12		Flavin-dependent monooxygenase, oxygenase subunit HsaA
PCHFIHDH_00299	CDS	888	hsaD_1	3.7.1.17		4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase
PCHFIHDH_00300	CDS	903	hsaC	1.13.11.25	COG0346	Iron-dependent extradiol dioxygenase
PCHFIHDH_00301	CDS	567	hsaB	1.5.1.36	COG1853	Flavin-dependent monooxygenase, reductase subunit HsaB
PCHFIHDH_00302	CDS	408				hypothetical protein
PCHFIHDH_00303	CDS	507				hypothetical protein
PCHFIHDH_00304	CDS	933	htpX_1	3.4.24.-		Protease HtpX
PCHFIHDH_00305	CDS	888				hypothetical protein
PCHFIHDH_00306	CDS	546	resA_1			Thiol-disulfide oxidoreductase ResA
PCHFIHDH_00307	CDS	612				Thioredoxin-like reductase
PCHFIHDH_00308	CDS	843	nat	2.3.1.5	COG2162	Arylamine N-acetyltransferase
PCHFIHDH_00309	CDS	1170	aspC_1	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
PCHFIHDH_00310	CDS	963		1.3.99.-		Acyl-CoA dehydrogenase FadE27
PCHFIHDH_00311	CDS	936	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
PCHFIHDH_00312	CDS	1134		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
PCHFIHDH_00313	CDS	1524	fadD3_1	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
PCHFIHDH_00314	CDS	1149		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
PCHFIHDH_00315	CDS	789	fabG2_1	1.-.-.-		putative oxidoreductase
PCHFIHDH_00316	CDS	1614				putative PPE family protein PPE40
PCHFIHDH_00317	CDS	558	kstR2_1			HTH-type transcriptional repressor KstR2
PCHFIHDH_00318	CDS	1161	fadA5_1	2.3.1.16		Steroid 3-ketoacyl-CoA thiolase
PCHFIHDH_00319	CDS	231				hypothetical protein
PCHFIHDH_00320	CDS	240				hypothetical protein
PCHFIHDH_00321	CDS	1149				putative PPE family protein PPE51
PCHFIHDH_00322	CDS	1659				hypothetical protein
PCHFIHDH_00323	CDS	729	cut3_1	3.1.1.74		putative cutinase cut3
PCHFIHDH_00324	CDS	804	cut3_2	3.1.1.74		putative cutinase cut3
PCHFIHDH_00325	CDS	891	eccB3_1	3.6.-.-		ESX-3 secretion system ATPase EccB3
PCHFIHDH_00326	CDS	666	eccB5_1	3.6.-.-		ESX-5 secretion system ATPase EccB5
PCHFIHDH_00327	CDS	1374	mycP4	3.4.21.-	COG1404	Mycosin-4
PCHFIHDH_00328	CDS	1383				hypothetical protein
PCHFIHDH_00329	CDS	3666	eccC		COG1674	ESX secretion system protein EccC
PCHFIHDH_00330	CDS	786				hypothetical protein
PCHFIHDH_00331	CDS	486				hypothetical protein
PCHFIHDH_00332	CDS	354	esxU		COG4842	ESAT-6-like protein EsxU
PCHFIHDH_00333	CDS	297	esxT		COG4842	ESAT-6-like protein EsxT
PCHFIHDH_00334	CDS	444	rplM		COG0102	50S ribosomal protein L13
PCHFIHDH_00335	CDS	459	rpsI		COG0103	30S ribosomal protein S9
