# locus_id	locus_tag	location	classification	internal_stop	indel	ref_id	description	query_cov	ref_cov	identity
MGA_540	LOCUS_05370	sequence0002:296864..298210(-)	frameshift,internal_stop_codon	296864..296866(-)	296640,296739,297289,297162,296779,296785,297202,296701,297247	WP_010886084.1	PE family protein	28.1	16.1	50.8
MGA_542	LOCUS_05390	sequence0002:299556..301733(+)	partial			WP_010950639.1	PecA family PE domain-processing aspartic protease	21.5	28.0	41.7
MGA_543	LOCUS_05400	sequence0002:301740..302339(-)	partial			WP_003905037.1	IS110 family transposase	97.5	34.0	82.0
MGA_555	LOCUS_05510	sequence0003:1014..1685(+)	partial			WP_003401488.1	type VII secretion system ESX-3 target PPE4	78.9	34.5	55.9
MGA_611	LOCUS_06070	sequence0003:59616..62285(+)	partial			WP_003914906.1	LuxR family transcriptional regulator	67.4	52.9	39.2
MGA_612	LOCUS_06080	sequence0003:62313..62897(-)	frameshift		63103	WP_003899260.1	MBL fold metallo-hydrolase	97.9	61.3	78.4
MGA_615	LOCUS_06110	sequence0003:64493..65242(-)	partial			WP_010969706.1	class I SAM-dependent methyltransferase	44.6	44.2	35.7
MGA_621	LOCUS_06170	sequence0003:69431..70237(+)	partial			WP_005093102.1	allophanate hydrolase	99.3	53.9	38.8
MGA_628	LOCUS_06240	sequence0003:77088..77870(+)	partial			WP_013530922.1	ribonuclease T(2)	89.2	69.6	29.2
MGA_635	LOCUS_06310	sequence0003:86208..87449(-)	partial			WP_010950872.1	PPE family protein	98.3	26.6	36.5
MGA_638	LOCUS_06340	sequence0003:88446..91562(+)	partial			WP_043790679.1	NB-ARC domain-containing protein	65.2	76.4	34.7
MGA_639	LOCUS_06350	sequence0003:92459..92932(+)	partial			WP_003408366.1	TetR family transcriptional regulator	97.5	73.9	72.5
MGA_641	LOCUS_06370	sequence0003:95777..97057(-)	partial			WP_003412039.1	PE family protein	47.2	48.9	39.2
MGA_659	LOCUS_06550	sequence0003:116661..116936(-)	partial			WP_003419334.1	PPE family protein	96.7	15.2	48.9
MGA_660	LOCUS_06560	sequence0003:117175..119949(+)	partial			WP_010886125.1	PE domain-containing protein	33.3	30.3	52.1
MGA_662	LOCUS_06580	sequence0003:120391..121302(+)	partial			WP_003899159.1	hypothetical protein	54.8	51.4	48.2
MGA_666	LOCUS_06620	sequence0003:123888..124556(-)	partial			WP_015943650.1	hypothetical protein	34.2	70.4	47.4
MGA_667	LOCUS_06630	sequence0003:125030..125917(-)	partial			WP_010950935.1	glycine betaine/carnitine/choline/L-proline ABC transporter substrate-binding protein ProX	41.7	38.4	44.7
MGA_671	LOCUS_06670	sequence0003:129067..129966(+)	partial			WP_003916655.1	PPE domain-containing protein	47.2	3.8	50.4
MGA_674	LOCUS_06700	sequence0003:131015..133066(+)	partial			WP_010886173.1	PE family protein	22.3	19.7	42.1
MGA_676	LOCUS_06720	sequence0003:134909..135262(+)	frameshift,internal_stop_codon	135260..135262(+)	134880	WP_005110336.1	site-specific integrase	77.8	23.4	61.5
MGA_677	LOCUS_06730	sequence0003:135275..135487(+)	internal_stop_codon	135260..135262(+)		WP_005110336.1	site-specific integrase	100.0	18.0	75.7
MGA_684	LOCUS_06800	sequence0003:142379..143026(-)	partial			WP_066567687.1	hypothetical protein	64.2	63.8	33.1
MGA_699	LOCUS_06950	sequence0003:158242..158610(+)	partial			WP_003411970.1	MarR family winged helix-turn-helix transcriptional regulator	99.2	74.2	88.4
MGA_700	LOCUS_06960	sequence0003:158777..161290(+)	partial			WP_003408545.1	ATP transporter ATP-binding protein/permease	63.6	61.8	45.8
MGA_705	LOCUS_07010	sequence0003:167938..177123(+)	partial			WP_013224965.1	non-ribosomal peptide synthetase	81.4	39.2	29.4
MGA_706	LOCUS_07020	sequence0003:177143..177700(+)	partial			WP_010974487.1	flavin reductase	91.4	49.2	34.9
MGA_707	LOCUS_07030	sequence0003:177775..179070(+)	partial			WP_011142384.1	cation:proton antiporter	95.6	54.6	37.1
MGA_761	LOCUS_07570	sequence0003:250138..250704(+)	partial			WP_003973221.1	GNAT family N-acetyltransferase	90.4	74.0	48.0
MGA_798	LOCUS_07940	sequence0003:292782..294386(+)	partial			WP_003911027.1	PE family protein	22.8	27.8	60.7
MGA_799	LOCUS_07950	sequence0003:294490..295557(+)	partial			WP_003911027.1	PE family protein	40.3	31.9	48.3
MGA_800	LOCUS_07960	sequence0004:41..622(-)	partial			WP_010950544.1	PE family protein	72.0	28.3	56.1
MGA_824	LOCUS_08200	sequence0004:28867..30372(+)	partial			WP_010886098.1	PecA family PE domain-processing aspartic protease	52.9	27.6	45.9
MGA_826	LOCUS_08220	sequence0004:32319..33416(-)	partial			WP_003407494.1	PE family protein	38.9	38.4	53.5
MGA_848	LOCUS_08440	sequence0004:55147..55614(-)	partial			WP_011728059.1	nitroreductase family deazaflavin-dependent oxidoreductase	69.7	66.7	48.6
MGA_851	LOCUS_08470	sequence0004:57880..59400(+)	partial			WP_013225439.1	HAMP domain-containing sensor histidine kinase	65.6	72.6	45.9
MGA_852	LOCUS_08480	sequence0004:59405..60376(-)	partial			WP_061481638.1	hypothetical protein	51.7	60.7	31.2
MGA_882	LOCUS_08780	sequence0004:95018..95818(-)	partial			WP_001977544.1	aldolase/citrate lyase family protein	66.9	64.8	27.5
MGA_890	LOCUS_08860	sequence0004:104496..105152(-)	partial			WP_001087865.1	class I SAM-dependent methyltransferase	77.1	72.5	38.1
MGA_912	LOCUS_09080	sequence0004:145255..145788(+)	partial			WP_003407722.1	signal peptidase II	81.9	71.8	95.9
MGA_940	LOCUS_09360	sequence0004:178517..179215(+)	partial			WP_003914321.1	DUF2567 domain-containing protein	70.3	84.5	60.1
MGA_956	LOCUS_09520	sequence0004:192914..195118(-)	partial			WP_010918464.1	cyanophycinase	36.5	66.7	29.5
MGA_959	LOCUS_09550	sequence0004:200142..201656(-)	partial			WP_011727267.1	serine/threonine-protein kinase	56.5	57.7	64.3
MGA_967	LOCUS_09630	sequence0004:208772..210928(+)	partial			WP_003408002.1	prolipoprotein diacylglyceryl transferase	45.7	71.4	72.2
MGA_968	LOCUS_09640	sequence0004:210992..211387(+)	partial			WP_003408004.1	TM2 domain-containing protein	76.3	68.5	86.0
MGA_978	LOCUS_09740	sequence0004:222933..223376(-)	partial			WP_003408030.1	HdeD family acid-resistance protein	99.3	74.9	84.2
MGA_986	LOCUS_09820	sequence0004:233509..234045(-)	partial			WP_010970164.1	DNA ligase D	83.7	17.3	48.0
MGA_995	LOCUS_09910	sequence0004:245397..247079(-)	partial			WP_010886110.1	serine/threonine protein kinase PknH	51.4	46.0	66.8
MGA_1009	LOCUS_10050	sequence0004:263055..265025(+)	partial			WP_003420809.1	PE family protein	55.3	76.6	37.4
MGA_1010	LOCUS_10060	sequence0004:265319..266989(+)	partial			WP_010886125.1	PE domain-containing protein	64.2	34.0	40.8
MGA_1011	LOCUS_10070	sequence0004:267246..269090(+)	partial			WP_003420809.1	PE family protein	62.4	78.8	39.0
MGA_1023	LOCUS_10170	sequence0005:10887..11702(-)	partial			WP_045843938.1	hypothetical protein	60.9	73.3	77.0
MGA_1073	LOCUS_10670	sequence0005:60743..61321(+)	frameshift,internal_stop_codon	60706..60708(+),61319..61321(+)	60656,60738	WP_003400998.1	PE-PPE domain-containing protein	100.0	32.7	52.6
MGA_1074	LOCUS_10680	sequence0005:61346..62395(+)	internal_stop_codon	61319..61321(+)		WP_003400998.1	PE-PPE domain-containing protein	99.1	58.8	74.6
MGA_1084	LOCUS_10780	sequence0005:74774..75412(-)	frameshift,internal_stop_codon	75413..75415(-)	75446	WP_003400961.1	TetR/AcrR family transcriptional regulator	98.6	74.6	68.4
MGA_1095	LOCUS_10890	sequence0005:84237..84449(+)	partial			WP_003977449.1	TOBE domain-containing protein	92.9	45.3	47.7
MGA_1114	LOCUS_11080	sequence0005:103359..104486(-)	frameshift,internal_stop_codon	104493..104495(-)	103370	WP_003400893.1	maltose alpha-D-glucosyltransferase	99.2	61.4	91.1
MGA_1115	LOCUS_11090	sequence0005:104493..105143(-)	internal_stop_codon	104493..104495(-)		WP_003400893.1	maltose alpha-D-glucosyltransferase	100.0	35.9	91.2
MGA_1141	LOCUS_11350	sequence0005:135514..137187(-)	partial			WP_003909149.1	PE family protein	23.9	26.8	62.4
MGA_1167	LOCUS_11610	sequence0005:166556..167851(+)	partial			WP_013228930.1	cytochrome P450	68.4	72.7	35.8
MGA_1197	LOCUS_11910	sequence0005:203632..205347(-)	partial			WP_011140563.1	hypothetical protein	43.1	83.1	33.5
MGA_1205	LOCUS_11990	sequence0005:213188..213661(-)	partial			WP_003400664.1	SRPBCC family protein	98.7	69.2	82.6
MGA_1209	LOCUS_12030	sequence0005:217371..218534(-)	partial			WP_010926041.1	aromatic ring-hydroxylating dioxygenase subunit alpha	39.8	38.6	33.3
MGA_1220	LOCUS_12140	sequence0005:227392..227613(+)	partial			WP_003400629.1	hypothetical protein	93.2	52.7	58.8
MGA_1227	LOCUS_12210	sequence0005:234746..236116(+)	partial			WP_010926041.1	aromatic ring-hydroxylating dioxygenase subunit alpha	44.3	52.5	36.6
MGA_1235	LOCUS_12290	sequence0006:<1..3276(+)	partial			WP_211695346.1	PPE family protein	98.4	32.6	50.1
MGA_1242	LOCUS_12360	sequence0006:9707..10153(-)	partial			WP_013229702.1	SRPBCC family protein	75.0	69.6	38.4
MGA_1271	LOCUS_12650	sequence0006:39989..40492(+)	partial			WP_013226322.1	MarR family winged helix-turn-helix transcriptional regulator	70.7	75.0	32.2
MGA_1276	LOCUS_12700	sequence0006:44028..45005(+)	partial			WP_003114566.1	oxidoreductase	68.9	76.1	36.0
MGA_1321	LOCUS_13150	sequence0006:96927..97589(+)	partial			WP_003415107.1	DNA-binding protein HupB	49.5	50.9	97.2
MGA_1355	LOCUS_13490	sequence0006:133123..133632(+)	frameshift		133611	WP_010907552.1	chorismate pyruvate-lyase family protein	97.0	78.1	57.9
MGA_1371	LOCUS_13650	sequence0006:181163..182977(-)	partial			WP_003414835.1	phthiocerol type I polyketide synthase PpsB	95.4	37.1	56.1
MGA_1372	LOCUS_13660	sequence0006:182949..184931(-)	partial			WP_010886158.1	phthiocerol type I polyketide synthase PpsA	86.2	30.3	85.8
MGA_1414	LOCUS_14080	sequence0006:229112..229627(-)	partial			WP_003414678.1	M23 family metallopeptidase	87.1	59.8	74.5
MGA_1419	LOCUS_14130	sequence0006:233734..234216(+)	partial			WP_011727224.1	MPT63 family protein	81.9	36.5	42.0
MGA_1421	LOCUS_14150	sequence0006:235286..235903(-)	partial			WP_003414666.1	response regulator transcription factor	90.2	73.4	57.3
MGA_1439	LOCUS_14320	sequence0007:19165..19698(+)	frameshift		19099	WP_003898829.1	DUF2017 domain-containing protein	97.7	80.7	77.8
MGA_1455	LOCUS_14480	sequence0007:34093..34593(-)	internal_stop_codon	34093..34095(-)		WP_003899112.1	CAP domain-containing protein	85.5	64.3	74.6
MGA_1458	LOCUS_14510	sequence0007:38181..38912(-)	partial			WP_235624115.1	hypothetical protein	67.1	81.2	56.0
MGA_1509	LOCUS_15020	sequence0007:91450..92220(-)	partial			WP_003407157.1	membrane protein	71.5	69.3	67.8
MGA_1514	LOCUS_15070	sequence0007:98296..100113(+)	partial			WP_005113275.1	PPE family protein	46.4	55.7	40.0
MGA_1533	LOCUS_15260	sequence0007:122206..123894(-)	partial			WP_011729162.1	MDR family MFS transporter	94.0	74.3	63.5
MGA_1537	LOCUS_15300	sequence0007:126825..127271(+)	partial			WP_005064825.1	MaoC family dehydratase	61.5	70.0	40.7
MGA_1539	LOCUS_15320	sequence0007:128860..130002(-)	partial			WP_010926041.1	aromatic ring-hydroxylating dioxygenase subunit alpha	57.1	54.0	30.0
MGA_1548	LOCUS_15410	sequence0007:146853..147080(+)	partial			WP_003412942.1	DUF3618 domain-containing protein	68.0	68.0	72.5
MGA_1563	LOCUS_15560	sequence0007:162938..163537(+)	partial			WP_013226070.1	TetR/AcrR family transcriptional regulator	42.2	40.0	46.4
MGA_1583	LOCUS_15760	sequence0007:185072..185434(-)	partial			WP_003899794.1	hypothetical protein	70.8	75.9	76.5
MGA_1584	LOCUS_15770	sequence0007:185724..186116(-)	partial			WP_003899794.1	hypothetical protein	65.4	75.9	76.5
MGA_1592	LOCUS_15850	sequence0007:193382..194185(+)	partial			WP_001002036.1	DNA damage-inducible protein D	41.6	40.5	52.3
MGA_1605	LOCUS_15970	sequence0007:199300..200508(+)	partial			WP_013229816.1	hypothetical protein	60.9	73.4	38.3
MGA_1638	LOCUS_16300	sequence0007:221788..224355(+)	partial			WP_028328048.1	SNF2-related protein	45.8	25.1	39.5
MGA_1651	LOCUS_16420	sequence0008:<1..543(+)	partial			WP_085976170.1	IS3 family transposase	100.0	46.4	72.2
MGA_1721	LOCUS_17120	sequence0008:74971..75306(+)	partial			WP_003416932.1	Rv3235 family protein	100.0	52.6	67.9
MGA_1735	LOCUS_17260	sequence0008:94208..94636(-)	frameshift		94662	WP_010886098.1	PecA family PE domain-processing aspartic protease	99.3	15.2	57.4
MGA_1772	LOCUS_17630	sequence0008:135152..135835(+)	frameshift,internal_stop_codon	135144..135146(+)	135095	WP_003899998.1	GtrA family protein	100.0	82.0	82.7
MGA_1776	LOCUS_17670	sequence0008:138989..139309(+)	partial			WP_003900000.1	acyl-CoA carboxylase subunit epsilon	99.1	71.2	55.0
MGA_1781	LOCUS_17720	sequence0008:143243..152707(-)	partial			WP_010895613.1	non-ribosomal peptide synthetase	66.3	40.5	29.8
MGA_1785	LOCUS_17760	sequence0008:155673..155984(-)	partial			WP_003417162.1	protein UsfY	99.0	74.5	81.4
MGA_1795	LOCUS_17860	sequence0008:168434..169663(-)	partial			WP_003404747.1	PPE family protein	56.5	57.7	37.6
MGA_1826	LOCUS_18160	sequence0009:1476..2690(-)	partial			WP_013225697.1	amidohydrolase family protein	71.8	72.9	31.1
MGA_1846	LOCUS_18360	sequence0009:19698..20351(+)	frameshift		19674	WP_003898609.1	M15 family metallopeptidase	90.3	76.6	78.1
MGA_1912	LOCUS_19020	sequence0009:87842..89524(-)	partial			WP_010950544.1	PE family protein	21.8	24.8	50.8
MGA_1924	LOCUS_19140	sequence0009:99991..100458(-)	partial			WP_003409199.1	DUF4189 domain-containing protein	59.4	63.6	51.1
MGA_1945	LOCUS_19350	sequence0009:122402..123136(-)	partial			WP_003407157.1	membrane protein	75.0	70.1	41.5
MGA_1947	LOCUS_19370	sequence0009:123731..124021(-)	partial			WP_003417257.1	pilin structural subunit Mtp	66.7	60.2	60.9
MGA_1961	LOCUS_19510	sequence0009:135115..135696(+)	partial			WP_003407152.1	membrane protein	74.1	65.0	62.9
MGA_1982	LOCUS_19720	sequence0009:155499..156566(-)	partial			WP_003900223.1	resuscitation-promoting factor protein RpfA	48.7	41.0	70.7
MGA_1995	LOCUS_19850	sequence0009:167714..168001(+)	partial			WP_003404606.1	MarR family transcriptional regulator	100.0	66.4	87.4
MGA_1997	LOCUS_19870	sequence0009:168834..169121(+)	partial			WP_003404614.1	DUF2537 domain-containing protein	74.7	75.5	60.6
MGA_2016	LOCUS_20060	sequence0009:189028..189228(-)	frameshift		189278	WP_011031577.1	FAD-binding dehydrogenase	81.8	9.7	70.4
MGA_2022	LOCUS_20120	sequence0009:195108..196385(-)	frameshift		195752,195785	WP_010950932.1	MFS transporter	95.3	38.2	35.6
MGA_2044	LOCUS_20320	sequence0010:14616..16568(+)	partial			WP_010886118.1	PE family protein	20.6	18.1	54.5
MGA_2049	LOCUS_20370	sequence0010:19155..19319(-)	partial			WP_208761996.1	transposase	72.2	24.5	71.8
MGA_2065	LOCUS_20530	sequence0010:35999..37054(-)	partial			WP_013225324.1	serine hydrolase	86.6	28.5	26.4
MGA_2067	LOCUS_20550	sequence0010:38611..40122(+)	frameshift		40143,40207,40095	WP_011729139.1	MFS transporter	95.2	76.6	69.7
MGA_2068	LOCUS_20560	sequence0010:40253..41674(+)	partial			WP_010950491.1	PE family protein	87.5	49.9	32.6
MGA_2085	LOCUS_20730	sequence0010:67819..70845(+)	partial			WP_010950905.1	PE family protein	94.7	68.4	26.4
MGA_2090	LOCUS_20780	sequence0010:75472..76992(+)	partial			WP_010950544.1	PE family protein	26.3	27.1	62.4
MGA_2094	LOCUS_20820	sequence0010:81413..82261(-)	partial			WP_011029339.1	SDR family oxidoreductase	94.3	46.0	43.5
MGA_2095	LOCUS_20830	sequence0010:82364..83650(+)	partial			WP_235624065.1	helix-turn-helix domain-containing protein	57.2	44.2	27.1
MGA_2096	LOCUS_20840	sequence0010:83774..84241(+)	partial			WP_005479856.1	2,4'-dihydroxyacetophenone dioxygenase family protein	57.4	54.7	36.6
MGA_2119	LOCUS_21070	sequence0010:113540..115318(+)	partial			WP_003975395.1	alpha/beta hydrolase	73.0	84.8	32.5
MGA_2126	LOCUS_21140	sequence0010:122162..122536(-)	partial			WP_003897321.1	hypothetical protein	96.8	57.6	47.9
MGA_2140	LOCUS_21280	sequence0010:131811..133688(+)	partial			WP_010886091.1	PE family protein	20.5	21.1	63.3
MGA_2147	LOCUS_21350	sequence0010:142556..146581(+)	partial			WP_010886118.1	PE family protein	9.1	16.5	65.6
MGA_2159	LOCUS_21470	sequence0010:154803..155165(-)	internal_stop_codon	155375..155377(-)		WP_005081171.1	cysteine hydrolase	76.7	40.9	73.9
MGA_2164	LOCUS_21520	sequence0010:159196..159453(+)	partial			WP_011729050.1	SRPBCC family protein	96.5	57.7	59.8
MGA_2170	LOCUS_21580	sequence0010:169946..170605(+)	partial			WP_003414680.1	PPE family protein	98.6	49.5	55.1
MGA_2171	LOCUS_21590	sequence0010:170660..171202(+)	internal_stop_codon	170603..170605(+)		WP_003901254.1	type VII secretion system ESX-5 target PPE25	78.3	36.4	46.8
MGA_2174	LOCUS_21620	sequence0010:173066..173332(+)	partial			WP_003406566.1	DUF732 domain-containing protein	89.8	69.0	43.0
MGA_2193	LOCUS_21810	sequence0010:194826..195341(-)	partial			WP_063921474.1	alpha/beta hydrolase fold domain-containing protein	91.2	62.0	29.4
MGA_2198	LOCUS_21860	sequence0010:199558..>201135(-)	partial			WP_010950436.1	PE family protein	8.6	5.6	77.8
MGA_2204	LOCUS_21910	sequence0011:3962..5395(-)	partial			WP_003911027.1	PE family protein	24.3	26.4	53.4
MGA_2205	LOCUS_21920	sequence0011:5577..7007(-)	partial			WP_010886128.1	PE family protein	26.9	14.0	51.6
MGA_2206	LOCUS_21930	sequence0011:7400..10585(+)	internal_stop_codon	10583..10585(+)		WP_010886116.1	PE family protein	11.5	24.8	50.8
MGA_2216	LOCUS_22030	sequence0011:25214..27058(-)	frameshift		27325	WP_011727124.1	Hsp70 family protein	83.6	83.9	44.7
MGA_2224	LOCUS_22110	sequence0011:33471..33848(-)	partial			WP_010886091.1	PE family protein	73.6	15.2	45.7
MGA_2230	LOCUS_22170	sequence0011:40033..47244(-)	partial			WP_122524938.1	PPE domain-containing protein	67.4	49.5	39.2
MGA_2271	LOCUS_22580	sequence0011:98820..99014(-)	partial			WP_003900268.1	alpha/beta hydrolase	100.0	43.4	35.7
MGA_2279	LOCUS_22660	sequence0011:107176..108366(+)	partial			WP_038420156.1	MFS transporter	40.9	34.8	33.5
MGA_2283	LOCUS_22700	sequence0011:111964..113478(-)	partial			WP_011336871.1	class I SAM-dependent methyltransferase	29.6	70.8	43.6
MGA_2296	LOCUS_22830	sequence0011:128286..134231(+)	partial			WP_003911169.1	type I polyketide synthase	57.9	80.8	64.5
MGA_2327	LOCUS_23140	sequence0011:167909..171772(+)	partial			WP_164929092.1	ATP-binding protein	56.5	60.5	41.5
MGA_2340	LOCUS_23270	sequence0011:183881..184870(+)	partial			WP_005086030.1	MFS transporter	90.6	71.7	57.3
MGA_2368	LOCUS_23540	sequence0012:21766..24789(+)	partial			WP_013228023.1	non-ribosomal peptide synthetase	68.6	37.9	37.5
MGA_2385	LOCUS_23710	sequence0012:45721..48564(+)	partial			WP_003899505.1	translation initiation factor IF-2	65.9	69.3	92.1
MGA_2393	LOCUS_23790	sequence0012:55667..56347(-)	partial			WP_189232996.1	NAD(P)/FAD-dependent oxidoreductase	96.9	64.2	49.1
MGA_2421	LOCUS_24070	sequence0012:84342..84791(+)	internal_stop_codon	84264..84266(+)		WP_003899476.1	Lrp/AsnC family transcriptional regulator	99.3	82.7	87.8
MGA_2463	LOCUS_24490	sequence0012:126905..127552(-)	frameshift,internal_stop_codon	126904..126906(-)	127291,126828,127198	WP_011027474.1	(2Fe-2S)-binding protein	99.1	81.8	35.6
MGA_2469	LOCUS_24550	sequence0012:133100..134905(-)	partial			WP_010950514.1	serine/threonine-protein kinase PknH/PknJ	73.0	66.8	52.6
MGA_2486	LOCUS_24720	sequence0012:152503..153324(+)	partial			WP_013223253.1	trypsin-like peptidase domain-containing protein	68.9	68.7	38.4
MGA_2497	LOCUS_24830	sequence0012:160825..162789(-)	partial			WP_004193152.1	T2SS-translocated chitinase	47.6	68.4	39.1
MGA_2498	LOCUS_24840	sequence0012:162999..164504(-)	partial			WP_003413944.1	RNA polymerase sigma factor	71.1	67.6	94.7
MGA_2505	LOCUS_24910	sequence0012:168280..168639(+)	partial			WP_003413930.1	dUTP diphosphatase	87.4	67.5	84.6
MGA_2524	LOCUS_25080	sequence0013:1437..4595(-)	partial			WP_139131626.1	beta-ketoacyl synthase N-terminal-like domain-containing protein	85.7	63.6	43.8
MGA_2552	LOCUS_25360	sequence0013:33728..34231(+)	frameshift		33650	WP_003400476.1	MarR family transcriptional regulator	96.4	77.4	85.1
MGA_2586	LOCUS_25700	sequence0013:62987..63307(-)	partial			WP_003416786.1	IS30 family transposase	100.0	30.8	77.4
MGA_2633	LOCUS_26170	sequence0013:110831..111235(+)	partial			WP_003899763.1	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	93.3	56.7	75.6
MGA_2649	LOCUS_26330	sequence0013:130690..131178(+)	partial			WP_003410707.1	hypothetical protein	87.7	70.6	45.1
