# locus_id	locus_tag	location	classification	internal_stop	indel	ref_id	description	query_cov	ref_cov	identity
MGA_1250	LOCUS_12180	sequence0035:23002..23703(+)	partial			WP_010908794.1	hypothetical protein	65.7	73.9	56.2
MGA_1256	LOCUS_12230	sequence0036:<1..821(+)	partial			WP_003417418.1	N-acetylglucosamine-6-phosphate deacetylase	98.5	70.2	71.5
MGA_1280	LOCUS_12450	sequence0037:4455..4631(-)	frameshift		4650	WP_003401485.1	type VII secretion system ESX-3 target PE5	70.7	40.2	65.9
MGA_1294	LOCUS_12590	sequence0037:22231..22569(-)	partial			WP_003895248.1	lipoprotein LpqH	97.3	69.0	67.0
MGA_1304	LOCUS_12670	sequence0038:7376..8146(+)	partial			WP_003407157.1	membrane protein	71.5	69.3	67.8
MGA_1324	LOCUS_12860	sequence0039:<1..798(+)	partial			WP_003402292.1	prolyl oligopeptidase family protein	98.5	38.8	83.5
MGA_1337	LOCUS_12990	sequence0039:14416..14607(+)	internal_stop_codon	14605..14607(+)		WP_003402248.1	DUF1295 domain-containing protein	85.7	21.1	61.1
MGA_1338	LOCUS_13000	sequence0039:14623..15210(+)	internal_stop_codon	14605..14607(+)		WP_003402248.1	DUF1295 domain-containing protein	99.0	75.4	77.2
MGA_1351	LOCUS_13120	sequence0040:<1..839(+)	partial			WP_003916225.1	L,D-transpeptidase LdtMt4	90.6	68.9	88.1
MGA_1365	LOCUS_13260	sequence0040:19063..19860(+)	internal_stop_codon	19858..19860(+)		WP_003401206.1	hypothetical protein	96.6	71.5	45.6
MGA_1366	LOCUS_13270	sequence0040:19870..20193(+)	internal_stop_codon	19858..19860(+)		WP_003401206.1	hypothetical protein	82.2	21.1	50.0
MGA_1371	LOCUS_13320	sequence0040:26314..26715(-)	partial			WP_013228395.1	CD225/dispanin family protein	47.4	51.2	51.5
MGA_1424	LOCUS_13820	sequence0042:25471..>26045(-)	partial			WP_003911784.1	3-deoxy-7-phosphoheptulonate synthase class II	100.0	41.1	92.1
MGA_1425	LOCUS_13830	sequence0043:21..1703(-)	partial			WP_010886110.1	serine/threonine protein kinase PknH	51.4	46.0	66.8
MGA_1440	LOCUS_13980	sequence0043:17689..19659(+)	partial			WP_003420809.1	PE family protein	55.3	76.6	37.4
MGA_1441	LOCUS_13990	sequence0043:19953..21623(+)	partial			WP_010886125.1	PE domain-containing protein	64.2	34.0	40.8
MGA_1442	LOCUS_14000	sequence0043:21880..23724(+)	partial			WP_003420809.1	PE family protein	62.4	78.8	39.0
MGA_1444	LOCUS_14010	sequence0044:<1..3252(+)	partial			WP_003917711.1	type I polyketide synthase	91.6	61.3	58.1
MGA_1446	LOCUS_14030	sequence0044:4432..5811(+)	partial			WP_012257994.1	AMP-binding protein	55.8	53.4	27.4
MGA_1447	LOCUS_14040	sequence0044:5916..6179(-)	partial			WP_011704876.1	2TM domain-containing protein	90.8	47.6	27.8
MGA_1453	LOCUS_14100	sequence0044:12274..13248(-)	partial			WP_010950570.1	PE domain-containing protein	74.4	30.0	26.3
MGA_1459	LOCUS_14160	sequence0044:16982..18154(+)	partial			WP_041272317.1	nitroreductase family protein	56.4	74.2	24.2
MGA_1460	LOCUS_14170	sequence0044:18287..19675(+)	partial			WP_004191694.1	ATP-dependent zinc metalloprotease FtsH	49.6	36.6	32.9
MGA_1461	LOCUS_14180	sequence0044:19837..20961(+)	frameshift		20874	WP_003899532.1	FdhF/YdeP family oxidoreductase	92.0	44.2	83.7
MGA_1462	LOCUS_14190	sequence0044:20895..22196(+)	frameshift		20877	WP_003899532.1	FdhF/YdeP family oxidoreductase	98.6	54.8	82.7
MGA_1497	LOCUS_14510	sequence0046:1434..3122(+)	partial			WP_011729162.1	MDR family MFS transporter	94.0	74.3	63.5
MGA_1547	LOCUS_14990	sequence0048:7731..7931(-)	frameshift		7981	WP_011031577.1	FAD-binding dehydrogenase	81.8	9.7	70.4
MGA_1553	LOCUS_15050	sequence0048:13811..15256(-)	partial			WP_010950932.1	MFS transporter	92.3	41.8	35.4
MGA_1565	LOCUS_15160	sequence0049:2609..3073(+)	frameshift		2565	WP_003403998.1	hypothetical protein	98.7	75.9	61.7
MGA_1568	LOCUS_15190	sequence0049:4324..5391(+)	partial			WP_003401347.1	PPE family protein	56.1	36.0	53.5
MGA_1569	LOCUS_15200	sequence0049:5418..6137(-)	frameshift,internal_stop_codon	6297..6299(-)	6339	WP_010886087.1	hypothetical protein	99.6	74.6	72.3
MGA_1576	LOCUS_15270	sequence0049:10393..11343(+)	frameshift		10355	WP_003403977.1	MFS transporter	97.8	56.7	62.1
MGA_1585	LOCUS_15360	sequence0049:20343..21551(-)	partial			WP_003401488.1	type VII secretion system ESX-3 target PPE4	44.0	34.7	53.4
MGA_1588	LOCUS_15390	sequence0049:22898..24532(-)	partial			WP_003403952.1	adenylosuccinate lyase	74.3	85.0	86.6
MGA_1600	LOCUS_15490	sequence0050:9972..14636(-)	partial			WP_027084589.1	non-ribosomal peptide synthetase	41.4	19.5	33.8
MGA_1608	LOCUS_15570	sequence0050:23049..>24060(-)	partial			WP_010950362.1	molybdopterin-dependent oxidoreductase	97.6	74.0	74.7
MGA_1638	LOCUS_15860	sequence0052:832..2466(+)	partial			WP_013227286.1	cation-transporting P-type ATPase	90.6	57.0	41.7
MGA_1640	LOCUS_15880	sequence0052:2939..3721(-)	partial			WP_066567687.1	hypothetical protein	53.1	63.8	33.1
MGA_1655	LOCUS_16030	sequence0052:18745..19113(+)	partial			WP_003411970.1	MarR family winged helix-turn-helix transcriptional regulator	99.2	74.2	88.4
MGA_1656	LOCUS_16040	sequence0052:19280..21793(+)	partial			WP_003408545.1	ATP transporter ATP-binding protein/permease	63.6	61.8	45.8
MGA_1662	LOCUS_16090	sequence0053:1201..2466(-)	frameshift		2444	WP_003406621.1	adenylyl-sulfate kinase	97.6	67.1	86.7
MGA_1700	LOCUS_16450	sequence0055:452..994(-)	partial			WP_010950791.1	PE family protein	65.6	19.2	45.8
MGA_1743	LOCUS_16880	sequence0056:21612..22592(+)	partial			WP_003409337.1	adhesin Apa	56.7	56.9	80.5
MGA_1751	LOCUS_16940	sequence0057:6852..7862(+)	partial			WP_126863657.1	LLM class flavin-dependent oxidoreductase	63.1	57.1	32.6
MGA_1753	LOCUS_16960	sequence0057:8488..8961(-)	partial			WP_003400664.1	SRPBCC family protein	98.7	69.2	82.6
MGA_1757	LOCUS_17000	sequence0057:12671..13894(-)	partial			WP_010926041.1	aromatic ring-hydroxylating dioxygenase subunit alpha	37.8	38.6	33.3
MGA_1768	LOCUS_17110	sequence0057:22704..22913(+)	partial			WP_003400629.1	hypothetical protein	91.3	48.8	60.3
MGA_1815	LOCUS_17550	sequence0059:20894..>22562(-)	partial			WP_005110650.1	non-ribosomal peptide synthetase	99.6	47.7	69.1
MGA_1823	LOCUS_17630	sequence0060:20529..>22413(-)	partial			WP_003414835.1	phthiocerol type I polyketide synthase PpsB	100.0	41.5	62.8
MGA_1826	LOCUS_17650	sequence0061:1378..4125(-)	partial			WP_003914906.1	LuxR family transcriptional regulator	68.9	55.8	38.2
MGA_1888	LOCUS_18240	sequence0063:18405..18698(+)	partial			WP_005110193.1	hypothetical protein	78.4	74.0	55.8
MGA_1910	LOCUS_18460	sequence0064:16188..17423(+)	partial			WP_011726850.1	LuxR C-terminal-related transcriptional regulator	71.5	73.9	36.1
MGA_1943	LOCUS_18770	sequence0066:11692..12372(+)	partial			WP_189232996.1	NAD(P)/FAD-dependent oxidoreductase	96.9	64.2	49.1
MGA_1951	LOCUS_18850	sequence0066:19475..>21391(-)	partial			WP_003899505.1	translation initiation factor IF-2	97.8	69.3	92.1
MGA_1974	LOCUS_19070	sequence0068:867..1337(-)	partial			WP_010969706.1	class I SAM-dependent methyltransferase	55.8	35.5	38.6
MGA_1980	LOCUS_19130	sequence0068:5526..6332(+)	partial			WP_005093102.1	allophanate hydrolase	99.3	53.9	38.8
MGA_1988	LOCUS_19210	sequence0068:13175..13957(+)	partial			WP_013530922.1	ribonuclease T(2)	89.2	69.6	29.2
MGA_1992	LOCUS_19250	sequence0068:16939..20058(-)	partial			WP_011122418.1	VIT domain-containing protein	55.9	76.6	29.9
MGA_1995	LOCUS_19270	sequence0069:<1..6628(+)	partial			WP_122524938.1	PPE domain-containing protein	76.5	48.8	38.0
MGA_2000	LOCUS_19320	sequence0069:11153..11764(+)	frameshift		11713	WP_003898409.1	amino acid permease	91.6	38.0	84.4
MGA_2001	LOCUS_19330	sequence0069:11778..12620(+)	frameshift		11722	WP_003898409.1	amino acid permease	95.4	54.8	82.0
MGA_2002	LOCUS_19340	sequence0069:12817..13194(+)	partial			WP_010886091.1	PE family protein	73.6	15.2	45.7
MGA_2029	LOCUS_19590	sequence0070:20594..20980(-)	partial			WP_005098444.1	thioesterase family protein	82.8	36.2	51.9
MGA_2071	LOCUS_20000	sequence0072:19359..19826(-)	partial			WP_011728059.1	nitroreductase family deazaflavin-dependent oxidoreductase	69.7	66.7	48.6
MGA_2074	LOCUS_20020	sequence0073:277..9546(+)	partial			WP_010895613.1	non-ribosomal peptide synthetase	67.7	40.5	29.8
MGA_2079	LOCUS_20070	sequence0073:13480..13800(-)	partial			WP_003900000.1	acyl-CoA carboxylase subunit epsilon	99.1	71.2	55.0
MGA_2083	LOCUS_20110	sequence0073:16954..17637(-)	frameshift,internal_stop_codon	17643..17645(-)	17693	WP_003899998.1	GtrA family protein	100.0	82.0	82.7
MGA_2105	LOCUS_20330	sequence0074:20032..>20590(-)	partial			WP_003419699.1	ABC transporter permease	100.0	69.5	89.2
MGA_2124	LOCUS_20510	sequence0075:16667..18103(+)	partial			WP_011727115.1	hypothetical protein	68.2	59.4	38.4
MGA_2145	LOCUS_20710	sequence0077:368..934(+)	frameshift		356	WP_013225103.1	methyltransferase domain-containing protein	96.3	61.8	34.9
MGA_2157	LOCUS_20830	sequence0077:12310..12798(-)	partial			WP_003418931.1	LppP/LprE family lipoprotein	88.3	62.7	42.1
MGA_2161	LOCUS_20870	sequence0077:16696..17142(-)	partial			WP_030862061.1	pyridoxamine 5'-phosphate oxidase family protein	86.5	41.7	35.7
MGA_2207	LOCUS_21300	sequence0080:15924..16091(+)	partial			WP_003900293.1	DUF3117 domain-containing protein	100.0	73.3	100.0
MGA_2237	LOCUS_21570	sequence0082:3455..4252(-)	partial			WP_003900223.1	resuscitation-promoting factor protein RpfA	65.3	41.0	70.1
MGA_2250	LOCUS_21700	sequence0082:15400..15687(+)	partial			WP_003404606.1	MarR family transcriptional regulator	100.0	66.4	87.4
MGA_2252	LOCUS_21720	sequence0082:16520..16807(+)	partial			WP_003404614.1	DUF2537 domain-containing protein	74.7	75.5	60.6
MGA_2261	LOCUS_21810	sequence0083:7081..8451(+)	partial			WP_010926041.1	aromatic ring-hydroxylating dioxygenase subunit alpha	44.3	52.5	36.6
MGA_2272	LOCUS_21900	sequence0084:1156..1365(-)	partial			WP_005065012.1	CbtB-domain containing protein	63.8	64.7	75.0
MGA_2273	LOCUS_21910	sequence0084:1542..2192(-)	partial			WP_010950464.1	PE family protein	56.0	19.2	52.9
MGA_2292	LOCUS_22080	sequence0085:2578..3078(-)	partial			WP_003416124.1	hypothetical protein	39.2	44.1	66.2
MGA_2309	LOCUS_22250	sequence0086:1971..2255(-)	partial			WP_004190520.1	NADPH-dependent 2,4-dienoyl-CoA reductase	91.5	12.6	41.9
MGA_2322	LOCUS_22380	sequence0086:13543..15093(-)	partial			WP_011729255.1	serine/threonine-protein kinase	59.9	62.3	64.4
MGA_2325	LOCUS_22410	sequence0087:<1..915(+)	partial			WP_003899541.1	signal recognition particle-docking protein FtsY	99.0	71.3	84.7
MGA_2359	LOCUS_22750	sequence0089:<1..680(+)	partial			WP_003912132.1	ATP-dependent helicase	100.0	14.3	76.4
MGA_2362	LOCUS_22780	sequence0089:2433..3662(-)	partial			WP_003404747.1	PPE family protein	56.5	57.7	37.6
MGA_2389	LOCUS_23050	sequence0090:17222..17725(+)	frameshift		17144	WP_003400476.1	MarR family transcriptional regulator	96.4	77.4	85.1
MGA_2391	LOCUS_23060	sequence0091:84..785(-)	frameshift		790	WP_003898734.1	hypothetical protein	98.7	80.8	77.9
MGA_2398	LOCUS_23130	sequence0091:5882..6469(-)	partial			WP_010908039.1	TetR/AcrR family transcriptional regulator	45.6	61.3	59.6
MGA_2411	LOCUS_23260	sequence0092:1190..5053(+)	partial			WP_164929092.1	ATP-binding protein	56.5	60.5	41.5
MGA_2413	LOCUS_23280	sequence0092:5412..8126(-)	frameshift		8349	WP_003904400.1	cation-translocating P-type ATPase	100.0	59.1	72.7
MGA_2414	LOCUS_23290	sequence0092:8116..10035(-)	frameshift		8349	WP_003911174.1	cation-translocating P-type ATPase	87.8	37.0	57.1
MGA_2415	LOCUS_23300	sequence0092:10055..10417(-)	partial			WP_003402171.1	hypothetical protein	92.5	74.8	59.5
MGA_2444	LOCUS_23560	sequence0094:334..546(-)	partial			WP_003977449.1	TOBE domain-containing protein	92.9	45.3	47.7
MGA_2455	LOCUS_23670	sequence0094:9371..10009(+)	frameshift,internal_stop_codon	9368..9370(+)	9336	WP_003400961.1	TetR/AcrR family transcriptional regulator	98.6	74.6	68.4
MGA_2462	LOCUS_23740	sequence0094:16536..>17922(-)	partial			WP_003901256.1	PPE family protein	99.1	67.9	48.1
MGA_2507	LOCUS_24150	sequence0098:1145..1552(+)	frameshift,internal_stop_codon	1550..1552(+)	1612	WP_003413891.1	1-deoxy-D-xylulose-5-phosphate synthase	100.0	21.2	89.6
MGA_2508	LOCUS_24160	sequence0098:1572..1985(+)	frameshift,internal_stop_codon	1550..1552(+)	1585	WP_003413891.1	1-deoxy-D-xylulose-5-phosphate synthase	94.2	20.4	81.5
MGA_2526	LOCUS_24340	sequence0099:227..1618(+)	partial			WP_003900090.1	PPE family protein	65.0	59.3	53.8
MGA_2557	LOCUS_24640	sequence0101:763..1278(+)	frameshift		729,762,710	WP_009936776.1	DUF1697 domain-containing protein	100.0	82.6	73.3
MGA_2570	LOCUS_24770	sequence0101:12772..13341(-)	internal_stop_codon	13387..13389(-)		WP_011730370.1	NAD(P)H-binding protein	97.9	48.1	54.6
MGA_2571	LOCUS_24780	sequence0101:13387..13920(-)	internal_stop_codon	13387..13389(-)		WP_011730370.1	NAD(P)H-binding protein	100.0	46.8	68.4
MGA_2583	LOCUS_24890	sequence0102:7245..7628(+)	partial			WP_003418931.1	LppP/LprE family lipoprotein	90.6	52.3	76.5
MGA_2584	LOCUS_24900	sequence0102:7862..8440(+)	partial			WP_003418925.1	DUF2510 domain-containing protein	99.5	73.5	56.5
MGA_2604	LOCUS_25090	sequence0103:8439..9539(-)	partial			WP_066877136.1	FAD-binding oxidoreductase	20.8	17.1	40.8
MGA_2643	LOCUS_25450	sequence0106:1086..1532(+)	partial			WP_005064825.1	MaoC family dehydratase	61.5	70.0	40.7
MGA_2645	LOCUS_25470	sequence0106:3121..4263(-)	partial			WP_010926041.1	aromatic ring-hydroxylating dioxygenase subunit alpha	57.1	54.0	30.0
MGA_2653	LOCUS_25550	sequence0107:3029..3379(-)	frameshift		3034	WP_003899719.1	metallopeptidase family protein	99.1	83.9	84.3
MGA_2672	LOCUS_25730	sequence0108:5457..5636(-)	partial			WP_003404135.1	DUF3073 domain-containing protein	66.1	65.0	92.3
MGA_2686	LOCUS_25850	sequence0109:1015..1260(-)	partial			WP_003411608.1	hypothetical protein	93.8	45.5	77.6
MGA_2712	LOCUS_26110	sequence0110:11414..11869(-)	frameshift,internal_stop_codon	11988..11990(-),12012..12014(-)	12131,11909	WP_011728521.1	IS30-like element ISMsm8 family transposase	99.3	32.2	71.3
MGA_2714	LOCUS_26130	sequence0110:14832..15446(+)	partial			WP_011970928.1	IS110 family transposase	77.9	43.8	41.1
MGA_2716	LOCUS_26150	sequence0110:15751..16089(+)	frameshift,internal_stop_codon	16105..16107(+),16087..16089(+)	16137	WP_011727590.1	IS1380-like element ISMsm11 family transposase	100.0	24.0	79.5
MGA_2726	LOCUS_26240	sequence0111:6917..7312(-)	frameshift		7287	WP_029104196.1	AMP-binding protein	88.5	25.4	67.2
MGA_2727	LOCUS_26250	sequence0111:7222..8334(-)	frameshift		7287	WP_029104196.1	AMP-binding protein	94.9	74.6	60.4
MGA_2734	LOCUS_26320	sequence0111:13753..14406(-)	frameshift		14429	WP_003898609.1	M15 family metallopeptidase	90.3	76.6	78.1
MGA_2741	LOCUS_26380	sequence0112:4442..5023(-)	frameshift		5105	WP_003405815.1	DUF4245 domain-containing protein	99.5	82.4	76.0
